Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2019-05-12,IGO,2263,DEL,IXB,T2,,,,false,,2019-05-12T14:05,2019-05-12T13:58,,2019-05-12T14:19,2019-05-12T15:57,2019-05-12T15:57,2019-05-12T16:05,2019-05-12T15:58,Airbus A320neo,VTIZA,,,,,,,01b29c2d-52d3-4fce-a67f-94e0770d05a4,6138dc1e-c866-4da6-bda7-f7f9c9d30784,8efaad68-a8cb-45c5-b819-dfeb8cbe505b,c0c33180-4c16-47f0-9d75-725618554bbc,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2019-05-19,IGO,2646,IXB,DEL,,,T2,,false,,2019-05-19T12:30,2019-05-19T12:27,,2019-05-19T12:33,2019-05-19T14:22,2019-05-19T14:22,2019-05-19T14:45,2019-05-19T14:27,Airbus A320,VTIEC,,,,,,,6e98ba1e-f371-4fea-a09c-bc84389acd8d,6138dc1e-c866-4da6-bda7-f7f9c9d30784,c0c33180-4c16-47f0-9d75-725618554bbc,8efaad68-a8cb-45c5-b819-dfeb8cbe505b,,dd390a1f-e92a-4411-ab72-04db16d42030
2019-05-19,IGO,2698,DEL,BDQ,T2,,,,false,,2019-05-19T19:10,2019-05-19T18:58,,,,,2019-05-19T20:40,2019-05-19T20:34,Airbus A320,VTIHE,,,,,,,38871eab-710d-452f-8388-4e97e2bb2920,6138dc1e-c866-4da6-bda7-f7f9c9d30784,8efaad68-a8cb-45c5-b819-dfeb8cbe505b,389cea0c-46e2-4d46-abdb-7d3148672f13,,dd390a1f-e92a-4411-ab72-04db16d42030
2021-11-07,IGO,823,AMD,BLR,1,,,,false,,2021-11-07T06:00,2021-11-07T05:54,2021-11-07T06:00,2021-11-07T06:12:53,2021-11-07T08:25,2021-11-07T08:02:04,,2021-11-07T08:17,Airbus A321neo,VTILG,,,,,,,74569ea9-3e72-488f-aceb-ab0563f82857,6138dc1e-c866-4da6-bda7-f7f9c9d30784,371c9336-6e4f-46ff-9830-190ad6a2f36e,7b6f50fc-f249-4a6d-8ad8-791f650de9b8,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2021-11-07,IGO,379,BLR,IXE,,6,,,false,,2021-11-07T09:40,2021-11-07T09:40,2021-11-07T09:40,2021-11-07T10:03:13,2021-11-07T10:50,2021-11-07T10:39:49,,,Airbus A321,VTILC,,,,,,,e8b12e34-eb75-4347-9bc2-ad5b24fb1887,6138dc1e-c866-4da6-bda7-f7f9c9d30784,7b6f50fc-f249-4a6d-8ad8-791f650de9b8,ebf4e834-f6a7-4a61-8fe2-3e1f202d6aaa,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2021-11-12,IGO,6204,IXE,BOM,,,2,,false,,2021-11-12T10:00,2021-11-12T09:53,2021-11-12T10:00,2021-11-12T10:03:46,2021-11-12T11:35,2021-11-12T11:12:51,,2021-11-12T11:19,Airbus A320,VTIZB,,,,,,,80a66bd5-24f3-41bf-8393-b4cb3005728d,6138dc1e-c866-4da6-bda7-f7f9c9d30784,ebf4e834-f6a7-4a61-8fe2-3e1f202d6aaa,2a6e27e3-f8ac-493e-adef-ee363a722a29,,5abf9f45-a4ac-48dc-bd62-b6b0a6f31bb8
2021-11-12,IGO,138,BOM,BDQ,2,,,,false,,2021-11-12T17:05,2021-11-12T17:17,2021-11-12T17:05,2021-11-12T17:36:56,2021-11-12T18:10,2021-11-12T18:16:37,,2021-11-12T18:23,Airbus A321,VTIUE,,,,,,,1024a1e7-e7f1-40bc-81c2-966b372755a4,6138dc1e-c866-4da6-bda7-f7f9c9d30784,2a6e27e3-f8ac-493e-adef-ee363a722a29,389cea0c-46e2-4d46-abdb-7d3148672f13,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2022-09-24,IGO,6246,BDQ,DEL,,,1D,,false,,2022-09-24T21:00,2022-09-24T22:25,2022-09-24T21:10,2022-09-24T22:36:08,2022-09-24T22:30,2022-09-24T23:43,2022-09-24T22:40,2022-09-24T23:47,Airbus A320neo,VTIZF,,,,,,,3688d0e3-75cd-409b-afdf-7f04f610808a,6138dc1e-c866-4da6-bda7-f7f9c9d30784,389cea0c-46e2-4d46-abdb-7d3148672f13,8efaad68-a8cb-45c5-b819-dfeb8cbe505b,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2022-09-25,FIN,122,DEL,HEL,3,11,,,false,,2022-09-25T07:40,2022-09-25T07:45,2022-09-25T07:50,2022-09-25T08:07:41,2022-09-25T14:25,2022-09-25T14:34,2022-09-25T14:35,2022-09-25T14:39,Airbus A330-300,OHLTS,LKG4JU,,,,,,f9c74291-9460-4900-9b58-37882c69e743,49e2db86-f4de-401f-b0e4-a3e80841af4c,8efaad68-a8cb-45c5-b819-dfeb8cbe505b,561f2662-7b0f-4f72-b5bc-916f7b082f49,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
2022-09-25,FIN,1763,HEL,FCO,,36A,1,,false,,2022-09-25T16:20,2022-09-25T16:51,2022-09-25T16:30,2022-09-25T16:59:56,2022-09-25T18:35,2022-09-25T19:02,2022-09-25T18:45,2022-09-25T19:10,Airbus A320,OHLXB,,,,,,,6eaf57ff-dd08-4e3c-baf8-1f6f40c1ca21,49e2db86-f4de-401f-b0e4-a3e80841af4c,561f2662-7b0f-4f72-b5bc-916f7b082f49,c1ae74d8-8361-4e5e-95e3-86a49e98df2a,,dd390a1f-e92a-4411-ab72-04db16d42030
2022-10-06,LGL,8012,CDG,LUX,2G,,,,false,,2022-10-06T09:35,2022-10-06T09:39:45,2022-10-06T09:45,2022-10-06T09:44:20,2022-10-06T10:25,2022-10-06T10:34:25,2022-10-06T10:35,2022-10-06T10:44:25,DHC-8-400 Dash 8Q,LXLQJ,LVRC3I,,,,,,a3513351-916e-4b9f-98c3-e678eb87b7dc,cf62133b-fa48-4288-8def-054d4d5a589a,065a1318-77b6-4f77-98ce-95b9253f64a5,d9711140-0469-4b57-890a-c978afaa48f6,,59b23fcb-b36b-49f7-9fb9-b1dc2a1a47d1
2022-10-06,TAP,691,LUX,LIS,,,1,,false,,2022-10-06T11:40,2022-10-06T11:50,2022-10-06T11:50,2022-10-06T11:59:40,2022-10-06T13:25,2022-10-06T13:31,2022-10-06T13:35,2022-10-06T13:36,Airbus A320,CSTNK,,,,,,,c345f547-96ae-4323-a0fa-d72324624730,9c42a4f8-f9ce-47ad-b1e7-4e47b334f4d0,d9711140-0469-4b57-890a-c978afaa48f6,f16c846f-6351-43af-8ae8-28df302e7c24,,5abf9f45-a4ac-48dc-bd62-b6b0a6f31bb8
2022-10-09,FIN,1740,LIS,HEL,1,,,,false,,2022-10-09T06:50,2022-10-09T06:52,2022-10-09T07:08:07,,2022-10-09T13:20,2022-10-09T13:25,2022-10-09T13:30,2022-10-09T13:29,Airbus A320,OYRUY,,,,,,,d99aa6df-46fb-4cbb-b5c0-19f6b7f637c9,49e2db86-f4de-401f-b0e4-a3e80841af4c,f16c846f-6351-43af-8ae8-28df302e7c24,561f2662-7b0f-4f72-b5bc-916f7b082f49,,5abf9f45-a4ac-48dc-bd62-b6b0a6f31bb8
2022-10-09,FIN,121,HEL,DEL,,44,3,,false,,2022-10-09T18:15,2022-10-09T18:15,2022-10-09T18:25,2022-10-09T18:27:47,2022-10-10T05:15,2022-10-10T04:48,2022-10-10T05:25,2022-10-10T05:03,Airbus A330-300,OHLTR,,,,,,,8046022c-12e9-42fd-a1be-99d47f17c8f3,49e2db86-f4de-401f-b0e4-a3e80841af4c,561f2662-7b0f-4f72-b5bc-916f7b082f49,8efaad68-a8cb-45c5-b819-dfeb8cbe505b,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
2022-10-10,IGO,184,DEL,AMD,1D,4B,1,,false,,2022-10-10T09:50,2022-10-10T09:42,2022-10-10T10:00,2022-10-10T09:59:28,2022-10-10T11:10,2022-10-10T11:08,2022-10-10T11:20,2022-10-10T11:13,Airbus A321neo,VTIUU,,,,,,,2177e78d-1a34-415d-b0ed-d034a47aac39,6138dc1e-c866-4da6-bda7-f7f9c9d30784,8efaad68-a8cb-45c5-b819-dfeb8cbe505b,371c9336-6e4f-46ff-9830-190ad6a2f36e,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2023-09-20,IGO,5185,BDQ,BOM,,,1,,false,,2023-09-20T13:45,,2023-09-20T13:55,2023-09-20T13:47:10,2023-09-20T14:45,2023-09-20T14:36:45,2023-09-20T14:55,,Airbus A321neo,VTIMY,,,,,,,a2f000f9-8ccc-430b-a758-3686ebbaf0c0,6138dc1e-c866-4da6-bda7-f7f9c9d30784,389cea0c-46e2-4d46-abdb-7d3148672f13,2a6e27e3-f8ac-493e-adef-ee363a722a29,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2023-09-21,IGO,5186,BOM,BDQ,1,,,,false,,2023-09-21T15:40,2023-09-21T15:56:56,2023-09-21T15:50,2023-09-21T16:17:51,2023-09-21T16:50,2023-09-21T17:03:19,2023-09-21T17:00,,Airbus A321neo,VTIBF,,,,,,,2cac65e2-2d52-449f-8447-1d27e737b5a7,6138dc1e-c866-4da6-bda7-f7f9c9d30784,2a6e27e3-f8ac-493e-adef-ee363a722a29,389cea0c-46e2-4d46-abdb-7d3148672f13,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2023-10-02,AIC,670,BDQ,BOM,,,2,,false,,2023-10-02T07:00,,2023-10-02T07:10,2023-10-02T07:13:42,2023-10-02T08:00,2023-10-02T08:01:57,2023-10-02T08:10,,Airbus A321,VTPPX,5ELCEF,5E,,,,,8568c889-e3d7-43cf-8f69-1a6143f0e306,b13dde84-41e3-49fa-8a3c-536ee9eda8b0,389cea0c-46e2-4d46-abdb-7d3148672f13,2a6e27e3-f8ac-493e-adef-ee363a722a29,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2023-10-10,IGO,7184,LKO,IDR,2,,,,false,,2023-10-10T10:25,2023-10-10T10:02,2023-10-10T10:35,2023-10-10T10:13:13,2023-10-10T12:15,2023-10-10T11:53,2023-10-10T12:55,2023-10-10T11:58,ATR 72,VTIYM,,,,,,,45caa96e-5488-42ab-a88d-7146bdc21ffe,6138dc1e-c866-4da6-bda7-f7f9c9d30784,16a460bc-a87b-40a9-a6aa-278be386dbac,34b379e5-2c74-4882-a100-87054297f4b8,,00069458-a1cb-42ac-889d-8c259cc8e679
2023-11-15,AIC,670,BDQ,BOM,,,2,,false,,2023-11-15T07:10,,2023-11-15T07:20,2023-11-15T07:38,2023-11-15T08:00,2023-11-15T08:34,2023-11-15T08:10,,Airbus A321,VTPPM,RTG8XV,,,,,,3c11c740-50f4-4a41-8531-3bc8b5ee9fe6,b13dde84-41e3-49fa-8a3c-536ee9eda8b0,389cea0c-46e2-4d46-abdb-7d3148672f13,2a6e27e3-f8ac-493e-adef-ee363a722a29,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2023-11-15,ALK,144,BOM,CMB,2,,,,false,,2023-11-15T20:45,2023-11-15T21:06,2023-11-15T20:55,2023-11-15T21:27,2023-11-15T23:00,2023-11-15T23:15,2023-11-15T23:10,2023-11-15T23:25,Airbus A320,4RMRE,6EU647,6E,,,,,42fa9e0f-d2b8-45c3-9196-a184172d841f,7caecd54-2754-4f3c-aa8b-20a641a0fb8b,2a6e27e3-f8ac-493e-adef-ee363a722a29,d3812494-4b98-4ced-ac9d-e8cfd7156b04,,5abf9f45-a4ac-48dc-bd62-b6b0a6f31bb8
2023-11-16,ALK,402,CMB,BKK,,,,,false,,2023-11-16T01:15,2023-11-16T01:10,2023-11-16T01:25,2023-11-16T01:26,2023-11-16T06:15,2023-11-16T06:15,2023-11-16T06:20,2023-11-16T06:20,Airbus A320,4RABO,,,,,,,b97d839a-b247-467a-a4fe-f8fb0a6fe1f6,7caecd54-2754-4f3c-aa8b-20a641a0fb8b,d3812494-4b98-4ced-ac9d-e8cfd7156b04,548d409f-68f7-4450-aaaf-87133919af6d,,5abf9f45-a4ac-48dc-bd62-b6b0a6f31bb8
2023-11-20,AIQ,311,DMK,KUL,1,,2,,false,,2023-11-20T06:40,2023-11-20T06:42,2023-11-20T06:50,2023-11-20T06:51,2023-11-20T09:45,2023-11-20T09:42,2023-11-20T09:55,,Airbus A320,HSBBP,,,,,,,c343eb3a-1e5f-4e74-b6c7-8e388b7badf7,49f5be2c-d4c1-4371-a45b-4ec4aabd7011,99e501ce-1da8-427e-b685-4f54c4a1a6ee,d0ed4e28-88b7-4a15-ba4e-bb366458975a,,5abf9f45-a4ac-48dc-bd62-b6b0a6f31bb8
2023-11-26,ALK,309,SIN,CMB,3,B9,,,false,,2023-11-26T19:55,2023-11-26T19:55,2023-11-26T20:05,2023-11-26T21:08,2023-11-26T21:05,2023-11-26T21:52,2023-11-26T21:15,2023-11-26T22:02,Airbus A330-200,4RALC,,,,,,,c5b56772-5a45-410d-a2f1-a82e98722c6d,7caecd54-2754-4f3c-aa8b-20a641a0fb8b,0408c509-a410-4361-806b-eebecfea9bc1,d3812494-4b98-4ced-ac9d-e8cfd7156b04,,e492cf0a-cb5c-4d2d-8102-ac650906e9d5
2023-11-26,ALK,141,CMB,BOM,,,2,,false,,2023-11-26T23:45,2023-11-26T23:37,2023-11-26T23:55,2023-11-26T23:49,2023-11-27T02:00,2023-11-27T01:56,2023-11-27T02:10,2023-11-27T02:05,Airbus A320neo,4RANA,6EU647,14B,,ECONOMY,,,e006857d-4430-46a3-b59c-1cfd18a020d1,7caecd54-2754-4f3c-aa8b-20a641a0fb8b,d3812494-4b98-4ced-ac9d-e8cfd7156b04,2a6e27e3-f8ac-493e-adef-ee363a722a29,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2023-11-27,AIC,669,BOM,BDQ,2,,,,false,,2023-11-27T05:15,2023-11-27T05:26,2023-11-27T05:25,2023-11-27T05:31,2023-11-27T06:25,2023-11-27T06:15,2023-11-27T06:35,,Airbus A321,VTPPT,,,,,,,d1f4ed19-7672-4913-acee-4cb5574b12a5,b13dde84-41e3-49fa-8a3c-536ee9eda8b0,2a6e27e3-f8ac-493e-adef-ee363a722a29,389cea0c-46e2-4d46-abdb-7d3148672f13,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2024-01-18,IGO,5602,BDQ,DEL,,,3,,false,,2024-01-18T08:10,2024-01-18T08:07,2024-01-18T08:20,2024-01-18T08:17,2024-01-18T09:30,2024-01-18T09:34,2024-01-18T09:40,2024-01-18T09:43,Airbus A320neo,VTIJW,,,,,,,76f31149-a2be-4497-995a-13cbc9012583,6138dc1e-c866-4da6-bda7-f7f9c9d30784,389cea0c-46e2-4d46-abdb-7d3148672f13,8efaad68-a8cb-45c5-b819-dfeb8cbe505b,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2024-01-19,IGO,6637,DEL,BDQ,1D,42,,,false,,2024-01-19T18:35,2024-01-19T18:44,2024-01-19T18:45,2024-01-19T19:01,2024-01-19T20:00,2024-01-19T20:28,2024-01-19T20:10,2024-01-19T20:34,Airbus A320neo,VTIQC,,,,,,,9685f1ee-7698-4b78-aae4-193aa35a4b28,6138dc1e-c866-4da6-bda7-f7f9c9d30784,8efaad68-a8cb-45c5-b819-dfeb8cbe505b,389cea0c-46e2-4d46-abdb-7d3148672f13,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2024-05-26,IGO,2078,STV,DEL,,,2,,false,,2024-05-26T08:30,2024-05-26T08:23,2024-05-26T08:40,2024-05-26T08:36,2024-05-26T10:05,2024-05-26T10:03,2024-05-26T10:15,2024-05-26T10:13,Airbus A320neo,VTIID,TPW88L,,,ECONOMY,,,4b62ae26-4a84-4759-80ca-e2b58489a186,6138dc1e-c866-4da6-bda7-f7f9c9d30784,4eb4502d-207c-4113-8ff2-91a1eca0e1b3,8efaad68-a8cb-45c5-b819-dfeb8cbe505b,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2024-05-26,IGO,2218,DEL,IXR,2,,,,false,,2024-05-26T12:25,,2024-05-26T13:16,2024-05-26T13:03,2024-05-26T14:24,2024-05-26T14:24,2024-05-26T14:10,,Airbus A320,9HSLF,TPW88L,,,ECONOMY,,,fa5198a9-d460-42fd-aeb0-430d32490f03,6138dc1e-c866-4da6-bda7-f7f9c9d30784,8efaad68-a8cb-45c5-b819-dfeb8cbe505b,961e92f3-5bff-4a62-8f6c-f69b00a98e6e,,5abf9f45-a4ac-48dc-bd62-b6b0a6f31bb8
