Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2024-12-05,IGO,105,BDQ,GOX,,,,,false,,2024-12-05T17:10,2024-12-05T17:00,2024-12-05T17:20,2024-12-05T17:10,2024-12-05T18:15,2024-12-05T18:18,2024-12-05T18:40,2024-12-05T18:25,Airbus A320neo,VTIID,,,,,,,df38b6d0-87ff-407e-997c-27db8ad53452,6138dc1e-c866-4da6-bda7-f7f9c9d30784,389cea0c-46e2-4d46-abdb-7d3148672f13,32879230-c079-41f3-b90f-92d25b60d24c,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2024-12-08,IGO,104,GOX,BDQ,,,,,false,,2024-12-08T15:10,,2024-12-08T15:20,2024-12-08T15:17,2024-12-08T16:30,2024-12-08T16:22,2024-12-08T16:40,,Airbus A320neo,VTIZQ,,,,,,,30e5cffe-28d8-49e5-8134-d2b15e83fa08,6138dc1e-c866-4da6-bda7-f7f9c9d30784,32879230-c079-41f3-b90f-92d25b60d24c,389cea0c-46e2-4d46-abdb-7d3148672f13,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2024-12-22,IGO,5187,BDQ,BOM,,,1,,false,,2024-12-22T06:55,2024-12-22T06:55,2024-12-22T07:05,2024-12-22T07:10,2024-12-22T07:50,2024-12-22T08:13,2024-12-22T08:10,2024-12-22T08:16,Airbus A320,VTIFN,,,,,,,17621789-53ce-43f7-9e88-ceaf66189403,6138dc1e-c866-4da6-bda7-f7f9c9d30784,389cea0c-46e2-4d46-abdb-7d3148672f13,2a6e27e3-f8ac-493e-adef-ee363a722a29,,dd390a1f-e92a-4411-ab72-04db16d42030
2025-03-10,IGO,635,AMD,AYJ,1,,,,false,,2025-03-10T13:50,2025-03-10T13:50,2025-03-10T14:00,2025-03-10T14:01,2025-03-10T15:20,2025-03-10T15:30,2025-03-10T15:30,2025-03-10T15:38,Airbus A320neo,VTIQQ,,,,,,,d410ce15-0f2a-41b0-8b11-41635f65072b,6138dc1e-c866-4da6-bda7-f7f9c9d30784,371c9336-6e4f-46ff-9830-190ad6a2f36e,d6b0b07a-9011-440f-b44b-1d34dbb38fa9,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2025-03-14,IGO,6414,VNS,AMD,,,2,,false,,2025-03-14T17:00,2025-03-14T16:41,2025-03-14T17:10,2025-03-14T16:51,2025-03-14T18:55,2025-03-14T18:32,2025-03-14T19:05,2025-03-14T18:40,Airbus A320neo,VTITR,,,,,,,fc8404eb-10ef-485a-99f4-e3d9afe4f9dc,6138dc1e-c866-4da6-bda7-f7f9c9d30784,aea15e87-82eb-4ccf-a366-9d6b75f486ce,371c9336-6e4f-46ff-9830-190ad6a2f36e,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2025-05-01,IGO,679,BDQ,BOM,,,2,,false,,2025-05-01T21:00,,2025-05-01T21:10,2025-05-01T21:24,2025-05-01T22:15,2025-05-01T22:19,2025-05-01T22:25,,Airbus A320neo,VTIJT,,,,,,,aea2bf6f-3874-4043-add5-7703eb1053fd,6138dc1e-c866-4da6-bda7-f7f9c9d30784,389cea0c-46e2-4d46-abdb-7d3148672f13,2a6e27e3-f8ac-493e-adef-ee363a722a29,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2025-05-02,UAE,501,BOM,DXB,2,,3,D2,false,,2025-05-02T04:25,2025-05-02T04:25,2025-05-02T04:35,2025-05-02T04:48,2025-05-02T05:50,2025-05-02T06:02,2025-05-02T06:00,2025-05-02T06:06,Airbus A380-800,A6EVS,,,,,LEISURE,,cca68238-ee8d-45bb-b9fb-6757536b7828,daa8b561-0aed-4a16-ace4-f13fa6c6ea21,2a6e27e3-f8ac-493e-adef-ee363a722a29,e8b51cb0-c41d-4224-b842-7f69655f8076,,c0d25858-9057-4fec-bd89-0c18fd4489d3
2025-05-02,UAE,211,DXB,IAH,3,A9,E,D16,false,,2025-05-02T09:30,2025-05-02T10:40,2025-05-02T09:40,2025-05-02T11:10,2025-05-02T16:40,2025-05-02T17:51,2025-05-02T16:50,2025-05-02T17:58,Airbus A380-800,A6EVQ,,,,,,,b175156e-a7fe-4f5a-93f2-24849b4cf412,daa8b561-0aed-4a16-ace4-f13fa6c6ea21,e8b51cb0-c41d-4224-b842-7f69655f8076,9a82d843-2e36-4dba-8a6c-ea86d70b316b,,c0d25858-9057-4fec-bd89-0c18fd4489d3
2025-05-17,NKS,2170,IAH,ATL,A,A24,S,C5,false,,2025-05-17T07:05,2025-05-17T06:59,2025-05-17T07:15,2025-05-17T07:12,2025-05-17T09:59,2025-05-17T09:53,2025-05-17T10:09,2025-05-17T10:14,Airbus A320neo,N971NK,,,,,,,274534c4-fecf-41ad-99eb-3cf74d1f79de,ffe5c844-1817-47ed-ab7c-6b41364be364,9a82d843-2e36-4dba-8a6c-ea86d70b316b,6f0c1d11-cfef-4b33-b462-90379270f593,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2025-05-20,NKS,2574,ATL,IAH,N,D2,A,A20,false,,2025-05-20T07:05,2025-05-20T07:51,2025-05-20T07:15,2025-05-20T08:02,2025-05-20T08:05,2025-05-20T08:45,2025-05-20T08:15,2025-05-20T08:52,Airbus A320,N627NK,,,,,,,9ad2631f-b153-4d69-9940-8ead39c41ddd,ffe5c844-1817-47ed-ab7c-6b41364be364,6f0c1d11-cfef-4b33-b462-90379270f593,9a82d843-2e36-4dba-8a6c-ea86d70b316b,,dd390a1f-e92a-4411-ab72-04db16d42030
2025-06-20,NKS,2063,IAH,EWR,A,A24,B,B48,false,,2025-06-20T06:25,2025-06-20T06:20,2025-06-20T06:35,2025-06-20T06:34,2025-06-20T10:50,2025-06-20T10:40,2025-06-20T11:00,2025-06-20T10:49,Airbus A321neo,N712NK,,,,,,,5fd641ee-2528-417e-8f51-43d0731a3494,ffe5c844-1817-47ed-ab7c-6b41364be364,9a82d843-2e36-4dba-8a6c-ea86d70b316b,4427d229-a1e2-4955-81fa-9b5c0f103f12,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2025-06-24,NKS,2064,EWR,IAH,B,B48,A,A19,false,,2025-06-24T12:05,2025-06-24T12:06,2025-06-24T12:15,2025-06-24T12:27,2025-06-24T14:50,2025-06-24T14:17,2025-06-24T15:00,2025-06-24T14:29,Airbus A321neo,N740NK,,,,,,,abca2b75-a0c9-40d7-ae54-d3c8b3328ce7,ffe5c844-1817-47ed-ab7c-6b41364be364,4427d229-a1e2-4955-81fa-9b5c0f103f12,9a82d843-2e36-4dba-8a6c-ea86d70b316b,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2025-07-06,UAE,212,IAH,DXB,D,D16,3,,false,,2025-07-06T19:55,2025-07-06T19:35,2025-07-06T20:05,2025-07-06T19:58,2025-07-07T19:35,2025-07-07T19:24,2025-07-07T19:45,2025-07-07T19:29,Airbus A380,A6EUR,,,,,,,497501b8-a043-4d34-8400-de270774aebe,daa8b561-0aed-4a16-ace4-f13fa6c6ea21,9a82d843-2e36-4dba-8a6c-ea86d70b316b,e8b51cb0-c41d-4224-b842-7f69655f8076,,b8eb326f-91a9-4135-9759-93f73428b24f
2025-07-07,UAE,538,DXB,AMD,3,B12,2,,false,,2025-07-07T22:50,2025-07-07T22:47,2025-07-07T23:00,2025-07-07T23:10,2025-07-08T02:50,2025-07-08T02:58,2025-07-08T03:00,2025-07-08T03:03,Airbus A350-900,A6EXF,,,,,,,871de2a9-23e0-4a2a-88a2-caa861b515ce,daa8b561-0aed-4a16-ace4-f13fa6c6ea21,e8b51cb0-c41d-4224-b842-7f69655f8076,371c9336-6e4f-46ff-9830-190ad6a2f36e,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
2025-10-22,TVJ,763,BOM,HKT,,,D,,false,,2025-10-22T02:05,,,,,,2025-10-22T08:20,,Airbus A320,,,,,,,,08ba3758-446d-4f26-9bb3-ce2fb457b4a1,f5183270-3577-42fd-aa42-647143b3dab1,2a6e27e3-f8ac-493e-adef-ee363a722a29,5c2e8f65-88c9-4917-a076-4043eff8a926,,63155468-7f9d-4f33-8e5d-c0bf2edd2987
2025-10-25,TLM,759,HKT,DMK,D,,2,,false,,2025-10-25T11:15,,,,,,2025-10-25T12:40,,Boeing 737-800,,,,,,,,2f95f86c-da31-417e-948c-dbd651b65306,ee625d9e-cb1d-44ba-b7e0-98b57f172e28,5c2e8f65-88c9-4917-a076-4043eff8a926,99e501ce-1da8-427e-b685-4f54c4a1a6ee,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2025-10-27,TLM,218,DMK,BOM,1,,2,,false,,2025-10-27T20:55,,,,,,2025-10-27T23:35,,Boeing 737-800,,,,,,,,712b0dfb-d457-4824-a74c-8122662b860b,ee625d9e-cb1d-44ba-b7e0-98b57f172e28,99e501ce-1da8-427e-b685-4f54c4a1a6ee,2a6e27e3-f8ac-493e-adef-ee363a722a29,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2023-10-02,,763,BOM,IXR,,,,,false,,2023-10-02T12:05,,,,,,2023-10-02T14:30,,Airbus A320,,,,,,,,,,2a6e27e3-f8ac-493e-adef-ee363a722a29,961e92f3-5bff-4a62-8f6c-f69b00a98e6e,,dd390a1f-e92a-4411-ab72-04db16d42030
